Feature,Coefficients,abs_coefficients
zero carbon,0.02444750507352778,0.02444750507352778
reliable electricity,0.024357638907329462,0.024357638907329462
direct combustion,0.02433684814841428,0.02433684814841428
nonrenewable,-0.02428103993155515,0.02428103993155515
trough,0.024211108647509402,0.024211108647509402
renewable energy technologies,0.024084441157472432,0.024084441157472432
turbines,0.0240233242065533,0.0240233242065533
alternative energy,-0.02395519623861641,0.02395519623861641
fuel efficiency,-0.023483041035734138,0.023483041035734138
power,0.023307757075208022,0.023307757075208022
wind turbines,-0.02317882812063928,0.02317882812063928
fossil fuel,0.023177026394447697,0.023177026394447697
pv module,0.023113779386413427,0.023113779386413427
energy consumption,-0.022924920976775797,0.022924920976775797
hydro power,-0.022297882215935448,0.022297882215935448
sustainable energy,0.02227654501126526,0.02227654501126526
energy development,-0.022164625944691374,0.022164625944691374
share of renewables,0.02214686886912119,0.02214686886912119
charging station,-0.021959283055664112,0.021959283055664112
renewable power,-0.021721856146893818,0.021721856146893818
off-grid,-0.021643438460295726,0.021643438460295726
refrigeration,0.021609781675081506,0.021609781675081506
photovoltaic,-0.0215618901670992,0.0215618901670992
alternative energy sources,-0.021552037507404233,0.021552037507404233
fossil fuel combustion,0.02145547134802083,0.02145547134802083
buildings,0.021111236116396873,0.021111236116396873
biodiesel,0.020974724990735733,0.020974724990735733
biomass,0.02077664303199252,0.02077664303199252
hydroelectricity,0.020510746840020494,0.020510746840020494
energy intensity,0.020502101551189027,0.020502101551189027
energy research,0.02035730936444376,0.02035730936444376
thermal storage,0.020255122977923094,0.020255122977923094
plug-in,0.019899407691751032,0.019899407691751032
motor,-0.01984159728050213,0.01984159728050213
renewable electricity,0.0197379970335537,0.0197379970335537
iso 50001,0.01966530183131235,0.01966530183131235
district heating,0.019558167886737546,0.019558167886737546
electric car,-0.019531278679543462,0.019531278679543462
ethanol fuel,0.019363503291058376,0.019363503291058376
wind power generation,0.019329806868812038,0.019329806868812038
plants,0.019213925046176663,0.019213925046176663
electricity grids,-0.019201403492685867,0.019201403492685867
hydro,0.019033907100751292,0.019033907100751292
wave,-0.018961827835503306,0.018961827835503306
electricity access,0.0184339698181268,0.0184339698181268
hvac,0.018312246250960593,0.018312246250960593
energy conservation,-0.018293311506635598,0.018293311506635598
hydroelectric power,-0.01808109273514797,0.01808109273514797
li-ion,0.018009909769572226,0.018009909769572226
financing clean energy,0.017976752193936747,0.017976752193936747
fossil fuel consumption,0.017950308665292968,0.017950308665292968
energy star,0.01763030461106521,0.01763030461106521
methanol,0.017601917542431417,0.017601917542431417
climate change levy,0.017025268940896156,0.017025268940896156
hydro plant,-0.01695259311860992,0.01695259311860992
hydro plants,-0.016952593118609912,0.016952593118609912
clean electricity,0.016904160195686718,0.016904160195686718
phevs,0.016572594567343082,0.016572594567343082
phev,0.01657259456734308,0.01657259456734308
taxation,0.01656397394089505,0.01656397394089505
investment,0.016434561710825107,0.016434561710825107
renewable energy law,-0.01642434938600115,0.01642434938600115
modern electricity,0.01620484308969709,0.01620484308969709
cost effective,0.016198470228913468,0.016198470228913468
proven reserves,0.016099362341750263,0.016099362341750263
hevs,0.01602671440267175,0.01602671440267175
plant,0.015785545622559925,0.015785545622559925
clean fuels,0.015742502878018042,0.015742502878018042
tidal,0.015634594206695853,0.015634594206695853
waste heat,0.015605355118050905,0.015605355118050905
truck,-0.015479792093621587,0.015479792093621587
concentrated solar power,0.015463279242723888,0.015463279242723888
energy for all,0.015422230724428021,0.015422230724428021
transport fuel,0.015359830630145751,0.015359830630145751
onshore wind,0.015135302175900832,0.015135302175900832
railway,-0.015031297602667202,0.015031297602667202
european union emission trading scheme,0.014977482712607647,0.014977482712607647
market barriers,-0.014957327838033536,0.014957327838033536
automobiles,-0.014908191657987305,0.014908191657987305
energy management system,-0.014882044575304659,0.014882044575304659
electricity consumption,-0.014880711402541892,0.014880711402541892
fuel wood,0.01478051629127893,0.01478051629127893
fuels,0.01466224056304033,0.01466224056304033
argon,0.014551034170919401,0.014551034170919401
electron,-0.014458378120353856,0.014458378120353856
clean technology,0.01434178822051653,0.01434178822051653
fuel switching,-0.01427955704220224,0.01427955704220224
renewable power generation,-0.014208672304589807,0.014208672304589807
solar resource,0.01415065787776974,0.01415065787776974
energy efficient buildings,-0.014039103437208704,0.014039103437208704
pv modules,0.01402192442159356,0.01402192442159356
manufacturing,-0.014010957902356456,0.014010957902356456
efficient cooling,0.013985577445487223,0.013985577445487223
grid-connected,-0.013847274953824573,0.013847274953824573
clean energy technology,-0.013819164690105405,0.013819164690105405
geothermal power,0.01378870440867859,0.01378870440867859
energy efficiency gap,0.013755190375899793,0.013755190375899793
smart meter,0.013687441795142492,0.013687441795142492
solar plant,-0.013385353196395977,0.013385353196395977
architecture,0.01332757254617606,0.01332757254617606
green building,0.013309752121455857,0.013309752121455857
coalbed methane,0.013309533463673166,0.013309533463673166
reliable energy,0.013201233529846378,0.013201233529846378
microgeneration,0.013039036324579456,0.013039036324579456
biogas,0.013009565994213549,0.013009565994213549
thermal conversion,0.013007926763263174,0.013007926763263174
solar cooker,0.012928482799665263,0.012928482799665263
energy balance,0.012902376009345564,0.012902376009345564
clean cooking fuel,0.012900453104230146,0.012900453104230146
removal,-0.012687201210747212,0.012687201210747212
financing energy,0.012633868581006036,0.012633868581006036
three gorges dam,0.012497326653588024,0.012497326653588024
taxes,0.012476971056916102,0.012476971056916102
electricity intensity,0.012160152333994381,0.012160152333994381
energy awareness,0.012123004296506314,0.012123004296506314
energy assessment,0.012041461194951038,0.012041461194951038
carbon storage,0.012024289592945726,0.012024289592945726
off shore wind,0.011965542953802833,0.011965542953802833
photovoltaic system,-0.011862328555017706,0.011862328555017706
electricity generation,0.011523761954341967,0.011523761954341967
energy supply and demand,0.011511423466072642,0.011511423466072642
rankine,0.011498010124461775,0.011498010124461775
gas market,0.011389693588531095,0.011389693588531095
cybersecurity,0.011258473746641313,0.011258473746641313
electric energy,-0.011003677592068464,0.011003677592068464
mini-grids,0.01098440319342045,0.01098440319342045
manure management,0.010972295191101104,0.010972295191101104
industrial gas,0.010968564839821648,0.010968564839821648
wave energy,-0.010968266153746492,0.010968266153746492
automation,-0.010954878775382584,0.010954878775382584
solar cell,0.010920558137914427,0.010920558137914427
solar-powered,-0.01088399802139064,0.01088399802139064
renewable energy resources,-0.01078145740710954,0.01078145740710954
energy poverty,-0.010710280170671426,0.010710280170671426
energy saving,0.01069410920203639,0.01069410920203639
hydrogen production,0.010654465762537986,0.010654465762537986
toxic metals,0.01058499647460509,0.01058499647460509
vestas,0.010510905604363506,0.010510905604363506
investment ,-0.010464290800676514,0.010464290800676514
wind power development,0.010400472519684997,0.010400472519684997
internet of things,-0.010384505723327853,0.010384505723327853
solar thermal collector,0.010337034279243722,0.010337034279243722
renewable energy policy,0.010327901800842637,0.010327901800842637
energy services in developing countries,0.010214881535234718,0.010214881535234718
climate change agreement,-0.010067663296265827,0.010067663296265827
offshore wind farm,0.009828740972810422,0.009828740972810422
electric mobility,0.009825671430767702,0.009825671430767702
thermal power,0.009771507815370268,0.009771507815370268
transportation fuel,0.009719909120355206,0.009719909120355206
scarce energy resources,0.009668546246623068,0.009668546246623068
conservation,-0.009617538928637245,0.009617538928637245
radio,-0.009614954164322969,0.009614954164322969
v2g,0.009592126177530334,0.009592126177530334
vehicle to grid,0.009592126177530332,0.009592126177530332
residential,0.009546239192131,0.009546239192131
